sku_key,product_name,category,historical_mean,linest_slope,forecast_12m_sum,monthly_forecast_distribution
99,Socks 683,Apparel,356.2,119.5,8378.1,"[np.float64(501.0), np.float64(536.8), np.float64(572.7), np.float64(608.6), np.float64(644.4), np.float64(680.2), np.float64(716.1), np.float64(752.0), np.float64(787.8), np.float64(823.6), np.float64(859.5), np.float64(895.4)]"
100,Organic Rice 146,Grocery,342.2,91.9,6718.0,"[np.float64(408.2), np.float64(435.8), np.float64(463.3), np.float64(490.9), np.float64(518.5), np.float64(546.0), np.float64(573.6), np.float64(601.2), np.float64(628.8), np.float64(656.3), np.float64(683.9), np.float64(711.5)]"
101,Smart plugs 768,Electronics,334.8,107.1,7565.6,"[np.float64(453.8), np.float64(485.9), np.float64(518.0), np.float64(550.1), np.float64(582.3), np.float64(614.4), np.float64(646.5), np.float64(678.7), np.float64(710.8), np.float64(742.9), np.float64(775.0), np.float64(807.2)]"
102,Mineral Water 126,Beverages,367.2,101.9,7776.5,"[np.float64(479.9), np.float64(510.5), np.float64(541.0), np.float64(571.6), np.float64(602.2), np.float64(632.8), np.float64(663.3), np.float64(693.9), np.float64(724.5), np.float64(755.0), np.float64(785.6), np.float64(816.2)]"
103,Soft Drinks 165,Beverages,395.2,124.9,8774.9,"[np.float64(525.2), np.float64(562.6), np.float64(600.1), np.float64(637.6), np.float64(675.0), np.float64(712.5), np.float64(750.0), np.float64(787.4), np.float64(824.9), np.float64(862.4), np.float64(899.9), np.float64(937.3)]"
104,Green Tea 488,Beverages,377.5,109.6,7884.0,"[np.float64(476.2), np.float64(509.0), np.float64(541.9), np.float64(574.8), np.float64(607.7), np.float64(640.6), np.float64(673.4), np.float64(706.3), np.float64(739.2), np.float64(772.1), np.float64(805.0), np.float64(837.8)]"
105,Fruit Juices 264,Beverages,383.5,126.4,9103.5,"[np.float64(550.1), np.float64(588.0), np.float64(625.9), np.float64(663.8), np.float64(701.7), np.float64(739.7), np.float64(777.6), np.float64(815.5), np.float64(853.4), np.float64(891.3), np.float64(929.3), np.float64(967.2)]"
106,Vases 163,Home Decor,380.5,129.0,9360.6,"[np.float64(567.2), np.float64(605.9), np.float64(644.6), np.float64(683.3), np.float64(722.0), np.float64(760.7), np.float64(799.4), np.float64(838.1), np.float64(876.8), np.float64(915.5), np.float64(954.2), np.float64(992.9)]"
107,Caps 931,Apparel,402.8,124.1,8812.4,"[np.float64(529.6), np.float64(566.8), np.float64(604.1), np.float64(641.3), np.float64(678.5), np.float64(715.8), np.float64(753.0), np.float64(790.2), np.float64(827.4), np.float64(864.7), np.float64(901.9), np.float64(939.1)]"
108,Soft Drinks 787,Beverages,338.0,98.4,7444.3,"[np.float64(458.0), np.float64(487.5), np.float64(517.0), np.float64(546.6), np.float64(576.1), np.float64(605.6), np.float64(635.1), np.float64(664.6), np.float64(694.2), np.float64(723.7), np.float64(753.2), np.float64(782.7)]"
109,Mineral Water 705,Beverages,393.8,110.5,8413.5,"[np.float64(518.8), np.float64(552.0), np.float64(585.1), np.float64(618.2), np.float64(651.4), np.float64(684.6), np.float64(717.7), np.float64(750.8), np.float64(784.0), np.float64(817.2), np.float64(850.3), np.float64(883.4)]"
110,Soft Drinks 445,Beverages,309.2,94.3,6962.3,"[np.float64(424.6), np.float64(452.9), np.float64(481.2), np.float64(509.5), np.float64(537.8), np.float64(566.0), np.float64(594.3), np.float64(622.6), np.float64(650.9), np.float64(679.2), np.float64(707.5), np.float64(735.8)]"
111,Green Tea 821,Beverages,367.5,101.8,7564.4,"[np.float64(462.4), np.float64(492.9), np.float64(523.5), np.float64(554.0), np.float64(584.6), np.float64(615.1), np.float64(645.6), np.float64(676.2), np.float64(706.7), np.float64(737.3), np.float64(767.8), np.float64(798.3)]"
112,Denims 127,Apparel,369.5,97.4,7369.3,"[np.float64(453.4), np.float64(482.6), np.float64(511.8), np.float64(541.1), np.float64(570.3), np.float64(599.5), np.float64(628.7), np.float64(657.9), np.float64(687.2), np.float64(716.4), np.float64(745.6), np.float64(774.8)]"
113,LED bulbs 251,Home Decor,358.2,121.5,8401.2,"[np.float64(499.6), np.float64(536.1), np.float64(572.5), np.float64(609.0), np.float64(645.4), np.float64(681.9), np.float64(718.3), np.float64(754.8), np.float64(791.2), np.float64(827.7), np.float64(864.1), np.float64(900.6)]"
114,USB Cables 721,Electronics,398.2,121.3,8782.7,"[np.float64(531.8), np.float64(568.1), np.float64(604.5), np.float64(640.9), np.float64(677.3), np.float64(713.7), np.float64(750.1), np.float64(786.5), np.float64(822.9), np.float64(859.3), np.float64(895.6), np.float64(932.0)]"
115,Soft Drinks 904,Beverages,343.5,89.8,7107.2,"[np.float64(444.1), np.float64(471.0), np.float64(498.0), np.float64(524.9), np.float64(551.9), np.float64(578.8), np.float64(605.7), np.float64(632.7), np.float64(659.6), np.float64(686.6), np.float64(713.5), np.float64(740.4)]"
116,Cushions 182,Home Decor,371.5,126.0,9116.4,"[np.float64(551.8), np.float64(589.6), np.float64(627.4), np.float64(665.2), np.float64(703.0), np.float64(740.8), np.float64(778.6), np.float64(816.4), np.float64(854.2), np.float64(892.0), np.float64(929.8), np.float64(967.6)]"
117,Spices 936,Grocery,363.2,109.1,8238.2,"[np.float64(506.5), np.float64(539.2), np.float64(572.0), np.float64(604.7), np.float64(637.4), np.float64(670.2), np.float64(702.9), np.float64(735.6), np.float64(768.3), np.float64(801.1), np.float64(833.8), np.float64(866.5)]"
118,Wall Clocks 806,Home Decor,393.5,100.0,7900.8,"[np.float64(493.4), np.float64(523.4), np.float64(553.4), np.float64(583.4), np.float64(613.4), np.float64(643.4), np.float64(673.4), np.float64(703.4), np.float64(733.4), np.float64(763.4), np.float64(793.4), np.float64(823.4)]"
119,Green Tea 981,Beverages,357.5,136.0,9160.8,"[np.float64(539.0), np.float64(579.8), np.float64(620.6), np.float64(661.4), np.float64(702.2), np.float64(743.0), np.float64(783.8), np.float64(824.6), np.float64(865.4), np.float64(906.2), np.float64(947.0), np.float64(987.8)]"
120,Mineral Water 690,Beverages,331.2,111.3,8152.7,"[np.float64(495.8), np.float64(529.1), np.float64(562.5), np.float64(595.9), np.float64(629.3), np.float64(662.7), np.float64(696.1), np.float64(729.5), np.float64(762.9), np.float64(796.3), np.float64(829.6), np.float64(863.0)]"
121,Power Banks 409,Electronics,349.5,98.4,7763.1,"[np.float64(484.6), np.float64(514.1), np.float64(543.6), np.float64(573.1), np.float64(602.6), np.float64(632.2), np.float64(661.7), np.float64(691.2), np.float64(720.7), np.float64(750.2), np.float64(779.8), np.float64(809.3)]"
122,Spices 720,Grocery,342.5,67.0,6060.6,"[np.float64(394.5), np.float64(414.6), np.float64(434.7), np.float64(454.8), np.float64(474.9), np.float64(495.0), np.float64(515.1), np.float64(535.2), np.float64(555.3), np.float64(575.4), np.float64(595.5), np.float64(615.6)]"
123,Soft Drinks 907,Beverages,358.5,127.2,8801.1,"[np.float64(523.6), np.float64(561.7), np.float64(599.9), np.float64(638.0), np.float64(676.2), np.float64(714.3), np.float64(752.5), np.float64(790.7), np.float64(828.8), np.float64(867.0), np.float64(905.1), np.float64(943.3)]"
124,Vases 845,Home Decor,358.5,115.4,8377.3,"[np.float64(507.7), np.float64(542.3), np.float64(576.9), np.float64(611.6), np.float64(646.2), np.float64(680.8), np.float64(715.4), np.float64(750.0), np.float64(784.7), np.float64(819.3), np.float64(853.9), np.float64(888.5)]"
125,Cushions 922,Home Decor,358.0,112.0,8076.0,"[np.float64(488.2), np.float64(521.8), np.float64(555.4), np.float64(589.0), np.float64(622.6), np.float64(656.2), np.float64(689.8), np.float64(723.4), np.float64(757.0), np.float64(790.6), np.float64(824.2), np.float64(857.8)]"
126,Organic Rice 246,Grocery,349.8,98.3,7408.2,"[np.float64(455.2), np.float64(484.6), np.float64(514.1), np.float64(543.6), np.float64(573.1), np.float64(602.6), np.float64(632.1), np.float64(661.6), np.float64(691.1), np.float64(720.6), np.float64(750.1), np.float64(779.5)]"
127,LED bulbs 954,Home Decor,356.8,117.5,8498.7,"[np.float64(514.4), np.float64(549.6), np.float64(584.8), np.float64(620.1), np.float64(655.3), np.float64(690.6), np.float64(725.8), np.float64(761.1), np.float64(796.4), np.float64(831.6), np.float64(866.9), np.float64(902.1)]"
128,Soft Drinks 984,Beverages,369.5,108.0,8195.8,"[np.float64(504.8), np.float64(537.2), np.float64(569.6), np.float64(602.0), np.float64(634.3), np.float64(666.8), np.float64(699.2), np.float64(731.6), np.float64(764.0), np.float64(796.3), np.float64(828.8), np.float64(861.2)]"
129,Cooking Oil 184,Grocery,356.5,87.0,6846.6,"[np.float64(427.0), np.float64(453.1), np.float64(479.2), np.float64(505.3), np.float64(531.4), np.float64(557.5), np.float64(583.6), np.float64(609.7), np.float64(635.8), np.float64(661.9), np.float64(688.0), np.float64(714.1)]"
130,Soft Drinks 350,Beverages,348.2,107.7,8017.9,"[np.float64(490.4), np.float64(522.8), np.float64(555.1), np.float64(587.4), np.float64(619.7), np.float64(652.0), np.float64(684.3), np.float64(716.6), np.float64(748.9), np.float64(781.2), np.float64(813.6), np.float64(845.9)]"
131,Organic Rice 325,Grocery,398.8,127.9,8579.7,"[np.float64(503.9), np.float64(542.3), np.float64(580.7), np.float64(619.1), np.float64(657.4), np.float64(695.8), np.float64(734.2), np.float64(772.5), np.float64(810.9), np.float64(849.3), np.float64(887.6), np.float64(926.0)]"
132,USB Cables 769,Electronics,338.8,110.5,7745.1,"[np.float64(463.1), np.float64(496.2), np.float64(529.4), np.float64(562.6), np.float64(595.7), np.float64(628.8), np.float64(662.0), np.float64(695.2), np.float64(728.3), np.float64(761.4), np.float64(794.6), np.float64(827.8)]"
133,Green Tea 820,Beverages,377.0,102.6,7579.6,"[np.float64(462.3), np.float64(493.1), np.float64(523.9), np.float64(554.7), np.float64(585.5), np.float64(616.2), np.float64(647.0), np.float64(677.8), np.float64(708.6), np.float64(739.4), np.float64(770.2), np.float64(800.9)]"
134,Denims 940,Apparel,361.5,136.0,9410.4,"[np.float64(559.8), np.float64(600.6), np.float64(641.4), np.float64(682.2), np.float64(723.0), np.float64(763.8), np.float64(804.6), np.float64(845.4), np.float64(886.2), np.float64(927.0), np.float64(967.8), np.float64(1008.6)]"
135,Mineral Water 909,Beverages,361.8,96.1,7337.6,"[np.float64(452.9), np.float64(481.7), np.float64(510.6), np.float64(539.4), np.float64(568.2), np.float64(597.1), np.float64(625.9), np.float64(654.7), np.float64(683.5), np.float64(712.4), np.float64(741.2), np.float64(770.0)]"
136,Wheat Flour 111,Grocery,395.2,137.7,9521.6,"[np.float64(566.3), np.float64(607.6), np.float64(648.9), np.float64(690.2), np.float64(731.5), np.float64(772.8), np.float64(814.1), np.float64(855.4), np.float64(896.7), np.float64(938.0), np.float64(979.4), np.float64(1020.7)]"
137,USB Cables 862,Electronics,375.0,100.2,7789.1,"[np.float64(483.8), np.float64(513.8), np.float64(543.9), np.float64(573.9), np.float64(604.0), np.float64(634.1), np.float64(664.1), np.float64(694.2), np.float64(724.2), np.float64(754.3), np.float64(784.4), np.float64(814.4)]"
138,Smart plugs 280,Electronics,363.8,109.7,8089.3,"[np.float64(493.1), np.float64(526.0), np.float64(558.9), np.float64(591.8), np.float64(624.7), np.float64(657.7), np.float64(690.6), np.float64(723.5), np.float64(756.4), np.float64(789.3), np.float64(822.2), np.float64(855.1)]"
139,Vases 781,Home Decor,358.8,139.7,9649.3,"[np.float64(573.6), np.float64(615.5), np.float64(657.4), np.float64(699.3), np.float64(741.2), np.float64(783.2), np.float64(825.1), np.float64(867.0), np.float64(908.9), np.float64(950.8), np.float64(992.7), np.float64(1034.6)]"
140,Socks 264,Apparel,335.5,140.4,9216.2,"[np.float64(536.3), np.float64(578.5), np.float64(620.6), np.float64(662.7), np.float64(704.8), np.float64(747.0), np.float64(789.1), np.float64(831.2), np.float64(873.3), np.float64(915.4), np.float64(957.6), np.float64(999.7)]"
141,T-Shirts 350,Apparel,338.5,81.2,6480.3,"[np.float64(406.0), np.float64(430.4), np.float64(454.8), np.float64(479.1), np.float64(503.5), np.float64(527.8), np.float64(552.2), np.float64(576.6), np.float64(600.9), np.float64(625.3), np.float64(649.7), np.float64(674.0)]"
142,USB Cables 999,Electronics,376.8,120.5,8682.2,"[np.float64(524.7), np.float64(560.8), np.float64(597.0), np.float64(633.1), np.float64(669.3), np.float64(705.4), np.float64(741.6), np.float64(777.8), np.float64(813.9), np.float64(850.0), np.float64(886.2), np.float64(922.4)]"
143,Cooking Oil 475,Grocery,319.0,101.2,7507.0,"[np.float64(458.6), np.float64(489.0), np.float64(519.3), np.float64(549.7), np.float64(580.0), np.float64(610.4), np.float64(640.8), np.float64(671.1), np.float64(701.5), np.float64(731.8), np.float64(762.2), np.float64(792.6)]"
144,Mineral Water 629,Beverages,414.2,143.5,9908.4,"[np.float64(588.9), np.float64(632.0), np.float64(675.0), np.float64(718.1), np.float64(761.1), np.float64(804.2), np.float64(847.2), np.float64(890.3), np.float64(933.3), np.float64(976.4), np.float64(1019.4), np.float64(1062.5)]"
145,Smart plugs 211,Electronics,362.8,93.9,7059.5,"[np.float64(433.4), np.float64(461.5), np.float64(489.7), np.float64(517.9), np.float64(546.0), np.float64(574.2), np.float64(602.4), np.float64(630.5), np.float64(658.7), np.float64(686.9), np.float64(715.1), np.float64(743.2)]"
146,Denims 219,Apparel,408.2,121.5,9009.6,"[np.float64(550.3), np.float64(586.8), np.float64(623.2), np.float64(659.7), np.float64(696.1), np.float64(732.6), np.float64(769.0), np.float64(805.5), np.float64(841.9), np.float64(878.4), np.float64(914.8), np.float64(951.3)]"
147,Socks 581,Apparel,350.0,96.2,7239.5,"[np.float64(444.6), np.float64(473.4), np.float64(502.3), np.float64(531.1), np.float64(560.0), np.float64(588.9), np.float64(617.7), np.float64(646.6), np.float64(675.4), np.float64(704.3), np.float64(733.2), np.float64(762.0)]"
148,Caps 225,Apparel,367.2,113.9,8701.7,"[np.float64(537.2), np.float64(571.4), np.float64(605.5), np.float64(639.7), np.float64(673.9), np.float64(708.1), np.float64(742.2), np.float64(776.4), np.float64(810.6), np.float64(844.7), np.float64(878.9), np.float64(913.1)]"
149,T-Shirts 935,Apparel,366.8,88.3,6904.1,"[np.float64(429.6), np.float64(456.1), np.float64(482.6), np.float64(509.1), np.float64(535.6), np.float64(562.1), np.float64(588.6), np.float64(615.1), np.float64(641.6), np.float64(668.1), np.float64(694.6), np.float64(721.0)]"
150,Socks 508,Apparel,348.8,104.3,7443.0,"[np.float64(448.2), np.float64(479.4), np.float64(510.7), np.float64(542.0), np.float64(573.3), np.float64(604.6), np.float64(635.9), np.float64(667.2), np.float64(698.5), np.float64(729.8), np.float64(761.1), np.float64(792.3)]"
